recording,start_sample,start_time_sec,resp_mean,resp_std,resp_range,resp_change,ppg_mean,ppg_std,ppg_range,ppg_change,resp_variability,ppg_variability,physiological_change
bidmc_01,0,0.0,0.44497123680000006,0.3301403676974751,0.998045,-0.025889379199999896,0.468615968,0.06597923430825017,0.24438000000000004,-0.0034457599999999644,0.7419347554617481,0.1407956578905828,0.01466756959999993
bidmc_01,625,5.0,0.456604543536,0.3676646987319747,1.0,0.049155992671999826,0.4662995199999999,0.06439377755225734,0.23460999999999999,-0.001187136000000033,0.8052129544567982,0.13809501553259548,0.02517156433599993
bidmc_01,1250,10.0,0.442552555552,0.36863120407865907,1.0,-0.0772599686399999,0.46741872,0.06462783546399802,0.25318,0.003425536000000007,0.8329640547546001,0.13826510243084741,0.04034275231999995
bidmc_01,1875,15.0,0.42653914961600004,0.32730073074798943,1.0,0.04523315676800005,0.468144456,0.06870606648778595,0.26687,-0.0019740639999999976,0.7673386222672062,0.14676222017582918,0.023603610384000023
bidmc_01,2500,20.0,0.4517098296,0.3098757263896205,0.936461,0.005108203199999828,0.46722559999999996,0.07255434835211463,0.26589,0.00013635200000000625,0.6860046429792759,0.15528728105830156,0.002622277599999917
bidmc_01,3125,25.0,0.4581935096,0.2933854880059399,0.926686,0.0078591568000001,0.462770568,0.07481948241840072,0.27174999999999994,-0.009046415999999946,0.6403077336349207,0.16167692138424702,0.008452786400000023
bidmc_01,3750,30.0,0.451300784,0.27831589131522,0.89932,-0.021644608000000065,0.460285288,0.07386366973253533,0.27174999999999994,0.004075855999999989,0.6166957481276432,0.16047332205676162,0.012860232000000027
bidmc_01,4375,35.0,0.42558669599999993,0.2575264511103347,0.88563,-0.029783567999999927,0.46491155199999995,0.07277045707587178,0.29716000000000004,0.005176671999999993,0.6051078391851223,0.15652504274797852,0.01748011999999996
bidmc_01,5000,40.0,0.37525566400000004,0.22419716061877124,0.8377300000000001,-0.07087849600000007,0.46521812800000006,0.06830999897654527,0.29912000000000005,-0.004563519999999988,0.5974501777769128,0.14683402909552176,0.03772100800000003
bidmc_01,5625,45.0,0.359951664,0.21657924015775634,0.7947200000000001,0.040270496000000044,0.46871848800000004,0.06066845624963483,0.23363,0.011564239999999892,0.6016881157400084,0.12943446518194446,0.02591736799999997
bidmc_01,6250,50.0,0.404881352,0.23758812730675768,0.79179,0.04958888,0.47208182400000004,0.05854800844190197,0.20233999999999996,-0.004837567999999959,0.5868078125241618,0.12402062829954172,0.02721322399999998
bidmc_01,6875,55.0,0.39499745599999997,0.23281898888039193,0.78788,-0.06935667199999995,0.47278724,0.0568785490769798,0.1955,0.006248400000000043,0.5894174656733139,0.1203044920850396,0.037802536
bidmc_01,7500,60.0,0.380778136,0.23520735426216058,0.7859200000000001,0.04091803199999999,0.47532652,0.06162857266925464,0.23558,-0.0011698400000000886,0.6177002152296511,0.12965496436910415,0.02104393600000004
bidmc_01,8125,65.0,0.4225712,0.25453038852726406,0.8827,0.04266809599999999,0.4718927680000001,0.06582720805030527,0.24046999999999996,-0.00569766399999988,0.6023358577002086,0.13949581985220297,0.024182879999999934
bidmc_01,8750,70.0,0.46355252799999996,0.2832227570192925,0.89052,0.03929455999999998,0.47001039999999994,0.06633324517796486,0.24731999999999998,0.0019329280000000004,0.6109817742974712,0.14113114102756844,0.02061374399999999
bidmc_01,9375,75.0,0.47671003679999996,0.30807783238301883,0.929619,-0.012979542399999988,0.46794904000000004,0.0667542063756165,0.23950000000000005,-0.006055648000000136,0.6462569745627061,0.1426524215611062,0.009517595200000062
bidmc_01,10000,80.0,0.45336313679999996,0.31817378400890245,0.956012,-0.033714257600000075,0.47196705600000005,0.06495249202896579,0.23461000000000004,0.014091680000000106,0.7018062484048309,0.13762052580305517,0.02390296880000009
bidmc_01,10625,85.0,0.45918674719999997,0.3132729257735933,0.956012,0.045361478400000044,0.46991956799999995,0.0579917563339254,0.22775999999999996,-0.01818665600000008,0.6822327635783948,0.12340757200890472,0.03177406720000006
bidmc_01,11250,90.0,0.4565950192,0.3026339493209809,0.916911,-0.05054493440000002,0.480354544,0.056345916721551925,0.19648,0.03905660800000005,0.6628046163241297,0.11730044011223471,0.044800771200000034
bidmc_01,11875,95.0,0.42991888,0.296492349365802,0.905181,-0.0028073439999999894,0.5053527200000001,0.05638376278718547,0.26980000000000004,0.010939744000000029,0.6896455901639208,0.11157286580810259,0.006873544000000009
bidmc_01,12500,100.0,0.44722574880000004,0.3012623637089919,0.911046,0.03742108160000007,0.48537576,0.05616572824296325,0.2786,-0.050893664000000005,0.6736233119269808,0.11571573439767338,0.04415737280000004
